,id,text,caption,label,image,IsSarcasm
0,820418009693061123,"a cold winter day in toledo , spain | photography by © olaya","a person walking down a snowy path with trees
",0,data/mmsd2/dataset_image/820418009693061123.jpg,Not Sarcastic
1,691699963584200705,professor louise phillips from <user> on their study into older adults having difficulty decoding,"a woman with glasses and a red shirt
",1,data/mmsd2/dataset_image/691699963584200705.jpg,Sarcastic
2,820413408612941824,"qb lamar jackson introduced to the crowd of over 1,200 people at the walter camp dinner","a large screen with a picture of a football player on it
",0,data/mmsd2/dataset_image/820413408612941824.jpg,Not Sarcastic
3,823399699180724225,the <user> show ( it 's satire / ) for theglazenetwork will be here in february,"a woman sitting on a chair in front of a camera
",1,data/mmsd2/dataset_image/823399699180724225.jpg,Sarcastic
4,817791851520475138,demonstrating good winter dress . you gotta keep head and hands warm when it 's cold like this . h / t <user>,"a man with a big beard and a shirt on a tv screen
",1,data/mmsd2/dataset_image/817791851520475138.jpg,Sarcastic
6,822229287994527744,imagine how beautiful jess is gonna look on her actual wedding day omg,"a woman in a wedding dress taking a selfie
",0,data/mmsd2/dataset_image/822229287994527744.jpg,Not Sarcastic
7,817519087534440448,clingy ?,"mtl clancy and needy
",0,data/mmsd2/dataset_image/817519087534440448.jpg,Not Sarcastic
8,752533357947420672,ooh ! ! what a big surprise ! ! ! hull to have yet more flats ! ! ! i 'm so happy !,"the qld times - screenshot
",1,data/mmsd2/dataset_image/752533357947420672.jpg,Sarcastic
9,864435483392135169,classmate trolled .,"aao kabhi havili pe
",1,data/mmsd2/dataset_image/864435483392135169.jpg,Sarcastic
10,723506088629276673,over 111 ! thx to bloombergjp & the boj officials whoever they r :),"usd/yen chart showing the price of the usd
",1,data/mmsd2/dataset_image/723506088629276673.jpg,Sarcastic
12,822949425832226816,"good night , jack army ! thanks again for your support today !","two soccer players celebrating a goal in front of a crowd
",0,data/mmsd2/dataset_image/822949425832226816.jpg,Not Sarcastic
13,873386506274062336,weak .,"a television screen showing a basketball game
",1,data/mmsd2/dataset_image/873386506274062336.jpg,Sarcastic
14,700863474549727232,talking to her fiancee and then asks about stefan ... but yeah that was soooo romantic lol,"a man in a white shirt is dancing on stage
",1,data/mmsd2/dataset_image/700863474549727232.jpg,Sarcastic
15,719730871436189696,ha ha .. that scene ..,"the two men are talking about their favorite tv show
",1,data/mmsd2/dataset_image/719730871436189696.jpg,Sarcastic
16,822589232040570882,kat did that .,"the flash cast at the table goodness panel
",0,data/mmsd2/dataset_image/822589232040570882.jpg,Not Sarcastic
17,891022128224419840,<user> <num> hours of that . thank you !,"the website for the airline is displayed on the phone
",1,data/mmsd2/dataset_image/891022128224419840.jpg,Sarcastic
18,819694591175720960,itunes usa : 12 . - beyonc é ( + 3 ),"beyonce performs at the 2017 grammys
",0,data/mmsd2/dataset_image/819694591175720960.jpg,Not Sarcastic
19,688460191130603521,so enthusiastic about life right now .,"a man wearing glasses
",1,data/mmsd2/dataset_image/688460191130603521.jpg,Sarcastic
20,719938415437955072,beautiful scottish spring,"a view of the sea from a walkway
",1,data/mmsd2/dataset_image/719938415437955072.jpg,Sarcastic
